date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:09	10704/10704	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2229d0-uKqkA/VvckmbtzGVjrgs5lOvhaU%22	https://www.noitadadesexo.com/POST	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/POST	(from https://www.noitadadesexo.com/)
10:09:10	17400/17400	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2011%20Aug%202022%2010:53:31%20GMT	https://www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-regular.woff2	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-regular.woff2	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:10	18616/18616	---M--	200	added ('OK')	application/font-woff	date:Thu,%2017%20Aug%202023%2008:36:22%20GMT	https://www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-regular.woff	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-regular.woff	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:10	17588/17588	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2011%20Aug%202022%2010:53:10%20GMT	https://www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-500.woff2	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-500.woff2	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:10	18868/18868	---M--	200	added ('OK')	application/font-woff	date:Thu,%2011%20Aug%202022%2010:54:00%20GMT	https://www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-500.woff	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/noto-sans-jp-latin-500.woff	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:10	29580/29580	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2026%20May%202023%2003:28:14%20GMT	https://www.noitadadesexo.com/landing/font/id/Love_is_material.woff2	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/Love_is_material.woff2	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:11	79904/79904	---M--	200	added ('OK')	application/font-woff	date:Thu,%2008%20Jun%202023%2012:11:31%20GMT	https://www.noitadadesexo.com/landing/font/id/Love_is_material.woff	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/font/id/Love_is_material.woff	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:11	7866/7866	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Aug%202023%2006:37:03%20GMT	https://www.noitadadesexo.com/landing/resource/id/861ed52744261dbdd4c2d98de28f8fab.png	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/resource/id/861ed52744261dbdd4c2d98de28f8fab.png	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:11	1050/1050	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202023%2012:20:04%20GMT	https://www.noitadadesexo.com/landing/resource/id/7baf0d5b23cb7ed5e9d47db4ca442ee9.png	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/resource/id/7baf0d5b23cb7ed5e9d47db4ca442ee9.png	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:11	2575392/2575392	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Dec%202023%2014:00:36%20GMT	https://www.noitadadesexo.com/landing/resource/id/545c1b863b345733f0c55b767b41e24f.png	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/resource/id/545c1b863b345733f0c55b767b41e24f.png	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
10:09:12	3145592/3145592	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Dec%202023%2012:14:28%20GMT	https://www.noitadadesexo.com/landing/resource/id/18b51f4c48f76ad35dd20bda9738e889.png	C:/Users/Dell/Desktop/gd/www.noitadadesexo.com/landing/resource/id/18b51f4c48f76ad35dd20bda9738e889.png	(from https://www.noitadadesexo.com/landing/resource/id/b4cb72deb2587dc0312bc4f3e4db173a.css)
